GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
29229,"Wright County, Missouri",18378,9003,9375,19805,12416,811,400,90,89,18184,1799,1556,3355,4560,2121,2439,6494,105
29047,"Clay County, Missouri",233135,114237,118898,31953,155930,33780,12357,2535,1033,231632,11299,9828,21127,20867,9412,11455,118872,792
29065,"Dent County, Missouri",15578,7764,7814,20908,10914,872,431,48,21,15400,1589,1239,2828,3426,1543,1883,5768,151
29195,"Saline County, Missouri",23214,11587,11627,21729,15127,1761,865,143,82,22756,1048,1059,2107,3748,1759,1989,10520,136
29227,"Worth County, Missouri",2061,984,1077,22961,1500,161,64,26,9,2001,122,111,233,262,103,159,970,1
29079,"Grundy County, Missouri",10231,4950,5281,22014,6870,763,392,89,39,10050,911,743,1654,1975,911,1064,4354,60
29141,"Morgan County, Missouri",20182,10136,10046,20055,14402,1158,404,104,25,19847,2420,2373,4793,4798,2421,2377,6961,258
29179,"Reynolds County, Missouri",6530,3374,3156,21593,4745,305,117,8,3,6385,400,431,831,1245,625,620,2392,47
29189,"St. Louis County, Missouri",1000560,474388,526172,38081,687472,169996,85313,22202,13854,988628,42118,38709,80827,100613,42309,58304,486100,3221
29209,"Stone County, Missouri",31197,15297,15900,26052,23805,2757,943,185,128,30890,2063,2154,4217,4139,1808,2331,12015,30
29009,"Barry County, Missouri",35716,17958,17758,20840,24688,2111,866,137,49,35416,3525,2883,6408,7876,3596,4280,13885,149
29019,"Boone County, Missouri",172773,83740,89033,28495,101676,26549,12780,3824,4381,171399,7545,6232,13777,31461,14160,17301,89093,607
29051,"Cole County, Missouri",76603,38731,37872,27559,51995,10752,4317,1011,423,72589,3447,3203,6650,9067,4299,4768,36044,352
29055,"Crawford County, Missouri",24545,12098,12447,20799,16873,1347,567,74,123,24253,1930,1899,3829,5166,2374,2792,9187,40
29093,"Iron County, Missouri",10220,5071,5149,19414,7259,504,255,18,49,9883,852,722,1574,2124,1098,1026,3714,59
29117,"Livingston County, Missouri",15057,6773,8284,22248,10682,1450,555,98,9,13872,987,897,1884,2463,1059,1404,6571,68
29135,"Moniteau County, Missouri",15840,8295,7545,21305,10584,1476,370,51,38,14490,1087,1089,2176,1779,851,928,6718,115
29155,"Pemiscot County, Missouri",17599,8318,9281,18883,11387,869,391,28,40,17421,1333,1462,2795,5036,2063,2973,6358,46
29159,"Pettis County, Missouri",42193,20704,21489,22304,27875,3165,1116,326,196,41436,3223,2780,6003,7000,3034,3966,18521,56
29203,"Shannon County, Missouri",8256,4056,4200,17903,5766,585,224,39,19,8191,747,646,1393,1831,781,1050,3110,65
29175,"Randolph County, Missouri",25081,13155,11926,19984,17167,1599,640,115,117,23025,1311,1270,2581,4025,1841,2184,9559,44
29069,"Dunklin County, Missouri",31271,15043,16228,18878,20521,1407,600,280,62,30587,2578,2551,5129,8355,3744,4611,11341,92
29071,"Franklin County, Missouri",102063,50830,51233,27209,69763,8867,3917,614,363,101300,5008,4590,9598,12057,5583,6474,48448,229
29089,"Howard County, Missouri",10148,5075,5073,23430,6566,1049,489,34,90,10022,485,376,861,1719,906,813,4731,89
29095,"Jackson County, Missouri",683643,330662,352981,28965,459102,85778,35470,8893,4957,676819,47766,42165,89931,115709,51744,63965,326636,3229
29131,"Miller County, Missouri",25011,12354,12657,23346,17171,1793,799,60,38,24716,1694,1360,3054,4763,2072,2691,10697,202
29171,"Putnam County, Missouri",4877,2448,2429,20729,3432,424,172,22,15,4821,336,368,704,900,413,487,2137,7
29213,"Taney County, Missouri",53853,26219,27634,21381,37036,4644,1555,423,210,53400,5092,5268,10360,9264,4164,5100,23259,133
29021,"Buchanan County, Missouri",89415,44984,44431,24271,59825,8257,2763,716,517,86414,5686,5129,10815,15652,7136,8516,41283,265
29025,"Caldwell County, Missouri",9057,4610,4447,24200,6223,826,208,55,22,8861,421,338,759,1153,502,651,3742,28
29037,"Cass County, Missouri",101324,49752,51572,30618,67897,11052,4858,809,448,100456,4491,3917,8408,9330,3770,5560,48407,239
29049,"Clinton County, Missouri",20494,10286,10208,27655,14059,1869,541,139,65,20025,1191,1176,2367,1887,771,1116,9699,55
29059,"Dallas County, Missouri",16508,8209,8299,19647,11363,975,425,61,34,16306,1723,1677,3400,2970,1401,1569,5710,109
29085,"Hickory County, Missouri",9267,4523,4744,19711,7174,468,173,37,26,9183,753,700,1453,2295,1007,1288,2936,77
29113,"Lincoln County, Missouri",54286,27178,27108,24023,35324,3625,1405,134,210,53787,2452,2726,5178,7358,3193,4165,23753,221
29137,"Monroe County, Missouri",8642,4333,4309,22255,6118,575,229,38,16,8533,629,630,1259,1333,620,713,3822,75
29145,"Newton County, Missouri",58741,29291,29450,25837,39172,4685,1816,482,239,58116,4579,4261,8840,8294,3777,4517,25885,336
29163,"Pike County, Missouri",18475,10249,8226,20947,12757,1220,375,90,13,16204,1239,990,2229,2447,1022,1425,7426,94
29183,"St. Charles County, Missouri",379856,186762,193094,35628,254000,60331,26554,2715,2211,377983,11924,11271,23195,22765,9862,12903,200349,1260
29031,"Cape Girardeau County, Missouri",78089,37830,40259,25965,50061,9417,4008,845,676,76947,3362,3454,6816,13236,5944,7292,36486,237
29205,"Shelby County, Missouri",6148,3065,3083,22349,4241,402,147,19,25,5936,469,414,883,928,407,521,2900,13
29225,"Webster County, Missouri",37075,18883,18192,20468,24057,2421,1126,224,125,36166,3166,2899,6065,6737,3124,3613,14463,166
29005,"Atchison County, Missouri",5380,2656,2724,28209,3945,666,153,46,16,5285,363,246,609,635,285,350,2597,8
29013,"Bates County, Missouri",16513,8097,8416,25873,11323,942,537,18,63,16211,1179,1055,2234,2623,1208,1415,7123,49
29015,"Benton County, Missouri",18825,9336,9489,20163,14451,1035,377,81,38,18622,1254,1149,2403,3581,1575,2006,5971,46
29035,"Carter County, Missouri",6249,2998,3251,21569,4247,354,106,35,21,6216,578,504,1082,1275,590,685,2410,75
29057,"Dade County, Missouri",7590,3871,3719,20468,5459,514,227,51,23,7453,707,546,1253,1520,792,728,3117,45
29115,"Linn County, Missouri",12319,5900,6419,22361,8459,794,302,119,18,12246,814,866,1680,2241,926,1315,5302,70
29091,"Howell County, Missouri",40265,19617,20648,20274,27214,2144,1260,333,175,39841,2452,2692,5144,8980,3991,4989,16125,164
29101,"Johnson County, Missouri",54229,27952,26277,23304,31046,5175,2523,395,535,50409,2750,2324,5074,8426,4431,3995,26552,112
29105,"Laclede County, Missouri",35505,17608,17897,20534,24121,2316,715,170,97,35149,2652,2704,5356,6698,3170,3528,14720,159
29125,"Maries County, Missouri",8987,4453,4534,22087,6367,612,200,64,13,8879,530,636,1166,1675,830,845,3587,38
29161,"Phelps County, Missouri",44833,23404,21429,23691,27780,4210,2221,479,827,43958,2477,2058,4535,8620,4557,4063,18702,193
29165,"Platte County, Missouri",94970,46798,48172,37443,64196,16503,7302,1475,866,94004,3443,3609,7052,6689,2732,3957,50502,209
29187,"St. Francois County, Missouri",66230,35676,30554,20944,46050,3947,1884,315,192,59694,4187,3476,7663,9955,4650,5305,25795,207
29510,"St. Louis city, Missouri",316030,152766,163264,26739,218566,40651,20825,5979,4688,311212,24291,21385,45676,81916,36978,44938,146727,1234
29003,"Andrew County, Missouri",17347,8574,8773,28003,12005,1865,872,102,40,17139,692,554,1246,1568,836,732,8397,28
29023,"Butler County, Missouri",42887,20730,22157,20855,29211,2805,1256,329,168,42251,3126,2091,5217,9053,3644,5409,16879,288
29033,"Carroll County, Missouri",9009,4366,4643,24642,6248,655,370,43,14,8915,553,564,1117,1632,731,901,3763,48
51810,"Virginia Beach city, Virginia",449733,221023,228710,34607,301104,67672,26544,5820,3069,424254,21377,18309,39686,35924,15175,20749,235755,2254
51005,"Alleghany County, Virginia",15919,7788,8131,25952,11720,1234,475,99,101,15672,647,657,1304,2847,1283,1564,6356,52
51640,"Galax city, Virginia",6858,3290,3568,22572,4941,262,128,49,37,6569,474,335,809,1642,851,791,2849,37
51193,"Westmoreland County, Virginia",17528,8640,8888,32265,12916,1723,782,140,92,17381,1193,968,2161,1940,920,1020,7450,107
51133,"Northumberland County, Virginia",12272,5966,6306,33364,9634,1572,751,156,128,12272,615,441,1056,1343,600,743,4778,83
51155,"Pulaski County, Virginia",34417,17147,17270,26328,25510,3026,1211,170,240,33383,1634,1568,3202,4491,2104,2387,15330,261
51187,"Warren County, Virginia",38807,19357,19450,30009,26608,3559,1453,178,144,38438,2186,2162,4348,3937,1600,2337,18100,116
51590,"Danville city, Virginia",42360,19379,22981,21882,29166,3343,1260,464,244,41241,2530,2320,4850,9135,3878,5257,16390,154
51630,"Fredericksburg city, Virginia",27853,13066,14787,32359,16441,4134,2059,368,393,27636,1658,1726,3384,4194,1826,2368,13739,53
51009,"Amherst County, Virginia",31999,15346,16653,24296,22495,2742,1257,103,145,31822,2031,1804,3835,4405,2271,2134,14478,215
51017,"Bath County, Virginia",4558,2465,2093,28195,3453,367,146,20,0,4497,199,285,484,373,238,135,2170,0
51670,"Hopewell city, Virginia",22332,10383,11949,22668,14820,1412,598,25,97,21976,1289,1102,2391,4509,1951,2558,9310,177
51700,"Newport News city, Virginia",181606,88071,93535,26028,115809,17537,8794,1246,1054,172213,11105,10313,21418,27776,12117,15659,88159,583
51069,"Frederick County, Virginia",82321,40925,41396,32554,56274,9899,4809,777,736,81286,4706,4212,8918,4800,2060,2740,41296,201
51680,"Lynchburg city, Virginia",78755,36987,41768,22439,44000,8621,4017,1156,853,77278,4539,4327,8866,16598,7093,9505,34428,355
51199,"York County, Virginia",66919,32825,34094,38193,44447,10167,6823,1003,1219,63499,2084,1701,3785,4052,1807,2245,32672,232
51690,"Martinsville city, Virginia",13551,6225,7326,22544,9458,1068,404,178,79,13190,1024,1181,2205,3159,1316,1843,5286,152
51125,"Nelson County, Virginia",14831,7171,7660,33597,10854,1594,1203,291,174,14777,960,825,1785,2125,1075,1050,6613,282
51143,"Pittsylvania County, Virginia",62392,30667,31725,23597,45313,4326,1865,302,133,61461,3411,3130,6541,9254,3761,5493,27181,244
51530,"Buena Vista city, Virginia",6610,2916,3694,17969,4129,426,153,41,47,6532,592,621,1213,1694,597,1097,2799,71
51610,"Falls Church city, Virginia",13597,6577,7020,65510,9328,3489,2623,847,523,13520,136,318,454,365,153,212,7487,48
51730,"Petersburg city, Virginia",31997,14709,17288,21992,22112,2147,1157,196,168,31125,2506,2000,4506,9191,3791,5400,12960,283
51735,"Poquoson city, Virginia",12068,5912,6156,39305,8493,2038,1070,138,133,11864,239,224,463,563,212,351,6204,18
51600,"Fairfax city, Virginia",23620,11626,11994,46489,16617,5082,2945,558,509,23084,1458,1156,2614,1415,698,717,12239,13
51820,"Waynesboro city, Virginia",21366,10205,11161,23640,14662,1956,1080,159,123,21208,1824,1476,3300,3351,1368,1983,9779,194
51770,"Roanoke city, Virginia",99329,47524,51805,24697,69292,10039,3727,1522,583,98013,7992,6749,14741,21610,9381,12229,46264,506
51800,"Suffolk city, Virginia",87061,42144,44917,31239,57919,9391,4587,986,437,84759,4278,3419,7697,9914,4035,5879,40928,279
51710,"Norfolk city, Virginia",245724,128011,117713,26670,150374,24064,11425,2684,1844,218963,17487,14496,31983,46307,21493,24814,124486,1159
51041,"Chesterfield County, Virginia",331839,159789,172050,35370,220124,51287,23690,4408,3579,329363,13960,13839,27799,24148,10353,13795,166686,1641
51059,"Fairfax County, Virginia",1132887,560803,572084,52976,768784,238610,164811,35616,24233,1119536,60428,54440,114868,67306,29776,37530,605414,5656
53047,"Okanogan County, Washington",41299,20785,20514,22755,28657,3290,1418,394,177,40781,3823,3084,6907,8637,4313,4324,16484,255
53037,"Kittitas County, Washington",42785,21381,21404,26698,25606,6059,2030,266,519,42452,2649,2178,4827,8402,3731,4671,19510,165
53005,"Benton County, Washington",187519,93970,93549,30511,120427,22103,9350,1657,2311,185968,10804,8563,19367,25797,11494,14303,82498,308
53011,"Clark County, Washington",450893,222759,228134,32162,299896,54925,21248,4535,2911,448292,22957,18600,41557,45773,20420,25353,203037,1488
53003,"Asotin County, Washington",22113,10635,11478,26878,15737,2336,748,127,96,21921,1090,1089,2179,3154,1363,1791,9400,82
53001,"Adams County, Washington",19100,9716,9384,18415,10473,980,359,85,20,18882,2122,1686,3808,4322,2061,2261,7711,100
53023,"Garfield County, Washington",2231,1102,1129,24781,1649,300,88,3,8,2206,91,112,203,250,103,147,864,5
53045,"Mason County, Washington",61060,31442,29618,26312,44688,5580,2053,409,255,59883,5023,3210,8233,10136,5414,4722,22178,64
53057,"Skagit County, Washington",120475,59573,60902,30069,83393,13133,5353,1389,736,119303,7319,6008,13327,17805,8047,9758,51906,530
53065,"Stevens County, Washington",43744,21911,21833,24707,30980,3564,1568,323,135,43496,2468,2022,4490,7133,3265,3868,15664,181
53063,"Spokane County, Washington",485859,240656,245203,28325,326281,59298,24013,6625,3845,476871,24183,18931,43114,73462,35626,37836,213480,1531
53043,"Lincoln County, Washington",10326,5249,5077,26918,7481,1168,351,80,45,10213,481,405,886,1506,738,768,4129,140
53007,"Chelan County, Washington",74761,37199,37562,27605,50144,7559,3725,910,498,74136,5429,4781,10210,9318,4216,5102,32418,490
53031,"Jefferson County, Washington",30333,14876,15457,32317,24605,5626,2719,568,629,29603,1196,1224,2420,3541,1513,2028,11344,224
53035,"Kitsap County, Washington",257488,131150,126338,34412,176275,35746,13776,3296,2093,243892,10864,7951,18815,26110,11721,14389,118652,970
53033,"King County, Washington",2079550,1037792,1041758,46316,1464776,441453,193995,47865,35241,2066068,95653,75956,171609,219317,102151,117166,1086503,8031
53049,"Pacific County, Washington",20743,10368,10375,23050,15801,1784,646,158,104,20500,1378,955,2333,3829,1765,2064,6945,171
53051,"Pend Oreille County, Washington",13001,6677,6324,26128,9574,1258,452,47,33,12889,754,644,1398,2543,1153,1390,4096,117
53055,"San Juan County, Washington",16056,7739,8317,40784,12947,3450,1708,463,466,16002,943,812,1755,1749,711,1038,7333,113
53059,"Skamania County, Washington",11316,5713,5603,28644,8164,1119,584,67,85,11279,541,541,1082,1597,742,855,4554,31
53075,"Whitman County, Washington",47494,24138,23356,22154,22920,5860,3182,668,1704,47247,1995,1480,3475,12246,6287,5959,21017,87
53077,"Yakima County, Washington",247681,123899,123782,21510,148605,14009,5910,1940,838,244752,25279,19620,44899,50081,22744,27337,100448,733
53009,"Clallam County, Washington",72969,36072,36897,28857,54880,8087,3717,1007,501,72010,4637,3255,7892,11273,5114,6159,27438,244
53015,"Cowlitz County, Washington",102854,50660,52194,25878,70866,6964,3397,614,263,101858,5186,4072,9258,17070,7777,9293,40257,302
53019,"Ferry County, Washington",7639,3874,3765,21951,5580,666,285,23,34,7566,463,438,901,1771,920,851,2339,39
53041,"Lewis County, Washington",75724,37742,37982,23853,53024,5137,2370,519,198,74875,4695,3329,8024,12131,5543,6588,28668,146
53017,"Douglas County, Washington",40101,20132,19969,25060,26145,3381,864,218,164,39969,3028,2627,5655,5330,2424,2906,17870,717
53029,"Island County, Washington",80113,39928,40185,33837,57535,11517,4918,1120,679,74976,3158,2410,5568,7362,2939,4423,35691,464
13101,"Echols County, Georgia",4025,1911,2114,20589,2555,141,39,10,11,4025,645,674,1319,1214,439,775,1721,30
13127,"Glynn County, Georgia",82623,38982,43641,29209,56717,9697,4449,1313,515,81610,6553,6743,13296,15177,6288,8889,35704,459
13089,"DeKalb County, Georgia",723902,344188,379714,32110,485606,117894,56677,15973,12170,717481,64035,59000,123035,134830,60830,74000,345582,2778
13143,"Haralson County, Georgia",28667,13977,14690,23141,19290,1468,721,308,158,28327,2326,2106,4432,5721,2556,3165,11116,91
13157,"Jackson County, Georgia",62131,30638,31493,25598,41310,5270,1723,664,220,61604,4284,4400,8684,8330,3734,4596,26596,159
13163,"Jefferson County, Georgia",16201,7835,8366,17485,10734,766,310,38,4,15707,1713,1531,3244,4535,1959,2576,5289,18
13169,"Jones County, Georgia",28701,13910,14791,26098,19454,2308,1203,311,114,28373,2147,1704,3851,3888,1685,2203,12277,21
13181,"Lincoln County, Georgia",7712,3606,4106,24529,5626,477,201,40,22,7620,557,580,1137,1939,775,1164,3046,31
13213,"Murray County, Georgia",39358,19520,19838,19084,25808,1701,679,274,150,39150,4065,3609,7674,7315,3479,3836,16202,99
13215,"Muscogee County, Georgia",200303,98284,102019,24604,128278,19564,8557,2461,1490,187954,14610,12816,27426,40006,17264,22742,86877,1093
13235,"Pulaski County, Georgia",11460,4756,6704,18623,8381,451,416,53,70,9874,787,835,1622,2342,901,1441,3743,0
13241,"Rabun County, Georgia",16312,8066,8246,26942,12185,1896,764,254,295,16109,2011,1592,3603,3491,1648,1843,6108,23
13259,"Stewart County, Georgia",5791,3528,2263,14954,4204,359,50,27,2,4039,525,371,896,1666,664,1002,1319,0
13281,"Towns County, Georgia",10976,5211,5765,22301,8085,1244,527,152,109,10807,726,706,1432,1528,642,886,3885,90
13283,"Treutlen County, Georgia",6711,3296,3415,20775,4602,526,149,46,38,6341,543,531,1074,1184,482,702,2716,37
13287,"Turner County, Georgia",8151,4040,4111,20302,5498,437,113,111,14,7802,1013,693,1706,2157,985,1172,2951,32
13003,"Atkinson County, Georgia",8268,4244,4024,19904,5211,206,112,23,7,8239,1134,987,2121,2270,1012,1258,3350,29
13001,"Appling County, Georgia",18410,8971,9439,19936,12326,794,382,218,75,17935,1703,1616,3319,3694,1503,2191,6862,68
13025,"Brantley County, Georgia",18403,9119,9284,18220,12177,656,321,128,53,18344,2250,2219,4469,3846,1562,2284,6451,36
13017,"Ben Hill County, Georgia",17405,8396,9009,16635,11400,779,317,87,20,17082,1700,1627,3327,5948,2539,3409,5601,59
13047,"Catoosa County, Georgia",65645,31839,33806,25643,44671,5890,2093,616,179,65161,4875,4273,9148,7700,3235,4465,30445,105
13055,"Chattooga County, Georgia",25046,13032,12014,17716,17270,991,405,111,23,23285,1927,2005,3932,5182,2186,2996,8910,32
13073,"Columbia County, Georgia",139904,68243,71661,31720,91502,19636,8159,2527,1795,136346,5980,6004,11984,13225,5897,7328,63008,398
13115,"Floyd County, Georgia",96199,46869,49330,23929,63533,7424,3185,1413,558,94051,7770,6992,14762,18192,8626,9566,39726,349
13117,"Forsyth County, Georgia",203841,101074,102767,39896,131143,42712,16471,2536,1584,203195,10248,9856,20104,13024,5697,7327,96413,758
13147,"Hart County, Georgia",25518,12561,12957,21668,17939,1539,555,227,128,24666,2496,1864,4360,5228,2348,2880,9751,45
13185,"Lowndes County, Georgia",113898,55878,58020,21199,65985,9519,4296,1070,856,108760,9960,9010,18970,27436,12180,15256,48555,317
13199,"Meriwether County, Georgia",21195,10224,10971,19679,14705,937,407,109,39,21069,1748,1781,3529,4943,2116,2827,7657,62
13237,"Putnam County, Georgia",21259,10526,10733,27498,15427,1898,681,158,85,21092,2132,1290,3422,3727,1984,1743,9063,203
13261,"Sumter County, Georgia",31070,14699,16371,18785,19329,1860,1178,479,339,30177,2385,2096,4481,9749,4144,5605,11224,21
13301,"Warren County, Georgia",5504,2563,2941,20712,3896,304,126,36,5,5428,406,524,930,1432,627,805,2028,21
13007,"Baker County, Georgia",3250,1577,1673,22270,2391,139,109,12,3,3250,368,247,615,509,240,269,1308,16
13035,"Butts County, Georgia",23479,12469,11010,21236,16306,1169,262,219,14,20915,1696,1604,3300,4255,1848,2407,8562,91
13043,"Candler County, Georgia",10962,5410,5552,18233,7238,671,168,109,82,10682,1202,1077,2279,3155,1414,1741,4215,79
13045,"Carroll County, Georgia",113756,55651,58105,23139,70887,7749,3232,1051,859,112668,9232,8219,17451,21157,8637,12520,47754,470
13099,"Early County, Georgia",10480,4822,5658,17972,6993,551,352,67,14,10329,994,904,1898,3216,1224,1992,3742,92
13081,"Crisp County, Georgia",23061,10784,12277,21225,15182,1537,499,149,104,22633,1998,2101,4099,7439,3097,4342,8385,83
13077,"Coweta County, Georgia",135625,66160,69465,31548,89400,16644,6450,1328,686,135011,7490,6937,14427,16138,6377,9761,63327,870
13067,"Cobb County, Georgia",728388,352083,376305,36587,481463,142039,55252,11995,7304,723395,57857,53580,111437,83479,37326,46153,368545,4951
13083,"Dade County, Georgia",16356,7990,8366,23184,11161,1039,358,85,58,16156,1322,1258,2580,2502,1033,1469,7423,36
13317,"Wilkes County, Georgia",9924,4723,5201,21957,6884,511,228,109,101,9821,916,666,1582,2620,1106,1514,3629,14
13027,"Brooks County, Georgia",15645,7540,8105,20964,10790,1011,259,60,12,15595,1632,1367,2999,3819,1431,2388,5533,59
13129,"Gordon County, Georgia",56079,27736,28343,21208,37178,2857,1326,352,267,55548,5159,4883,10042,11388,5249,6139,23718,496
13105,"Elbert County, Georgia",19394,9234,10160,21138,13464,824,489,227,34,19165,1361,1400,2761,3768,1600,2168,7246,0
13113,"Fayette County, Georgia",109495,52974,56521,39936,73601,21500,8742,2366,1084,108737,4284,4135,8419,7774,3125,4649,50098,706
13165,"Jenkins County, Georgia",9055,4456,4599,15149,6157,455,297,50,0,8976,813,593,1406,2539,1159,1380,3115,0
13217,"Newton County, Georgia",103901,49424,54477,23611,65767,8429,3453,646,503,102985,6612,7279,13891,17415,7451,9964,43464,465
13133,"Greene County, Georgia",16535,8036,8499,32890,12252,1599,963,371,99,16363,1516,1279,2795,3983,1889,2094,6106,225
13071,"Colquitt County, Georgia",46002,22919,23083,18121,29348,2277,1104,297,115,45356,6809,5307,12116,11305,5275,6030,18083,249
13085,"Dawson County, Georgia",22939,11329,11610,31954,16263,3129,1313,313,98,22691,1557,1486,3043,3028,1389,1639,10239,90
13063,"Clayton County, Georgia",270269,127718,142551,19498,165413,21427,7488,1368,1193,266769,30274,30154,60428,64326,27861,36465,113377,1545
13139,"Hall County, Georgia",190482,94865,95617,26283,122335,17222,6819,2354,1098,189282,19343,17305,36648,33350,15809,17541,84673,1210
15003,"Honolulu County, Hawaii",986999,497019,489980,33776,673882,147839,50147,16647,10111,939337,22637,19337,41974,90359,40012,50347,490828,9274
15009,"Maui County, Hawaii",162456,81068,81388,32379,114016,19943,6014,2303,1040,160977,6192,5128,11320,15767,7176,8591,80653,1134
15005,"Kalawao County, Hawaii",91,44,47,46024,84,9,14,0,2,82,3,3,6,11,4,7,72,0
16071,"Oneida County, Idaho",4269,2153,2116,21360,2667,327,94,5,10,4238,297,255,552,582,299,283,1623,0
16045,"Gem County, Idaho",16853,8260,8593,20041,11858,1279,422,93,17,16713,1483,1596,3079,3705,1828,1877,5875,121
16085,"Valley County, Idaho",9897,5121,4776,28515,7445,1580,618,45,63,9816,988,660,1648,1369,728,641,4382,37
16003,"Adams County, Idaho",3865,2034,1831,24315,2945,417,202,41,8,3835,321,381,702,561,302,259,1499,33
28011,"Bolivar County, Mississippi",33615,15773,17842,16984,21344,2878,1209,279,220,32858,3272,2582,5854,12097,5135,6962,11582,57
29061,"Daviess County, Missouri",8257,4172,4085,22642,5451,670,146,45,56,8049,798,724,1522,1301,560,741,3357,100
29087,"Holt County, Missouri",4537,2274,2263,25306,3345,462,177,20,13,4420,242,228,470,614,315,299,2125,23
29127,"Marion County, Missouri",28858,13914,14944,22662,19339,2717,906,214,122,28184,1705,1841,3546,4734,2130,2604,13072,86
29151,"Osage County, Missouri",13704,7153,6551,24995,9255,1281,398,74,13,13566,556,304,860,923,483,440,6682,59
29181,"Ripley County, Missouri",13936,6897,7039,18434,9650,672,298,68,53,13865,1225,963,2188,3312,1453,1859,5161,86
29219,"Warren County, Missouri",33290,16777,16513,26845,22813,2800,1080,189,85,33114,1941,1871,3812,4506,2193,2313,14406,85
29221,"Washington County, Missouri",25002,12835,12167,18314,17250,886,381,90,15,23888,1876,1751,3627,4678,2099,2579,8797,70
29043,"Christian County, Missouri",82053,39892,42161,26628,54396,9810,3361,689,539,81589,4697,4111,8808,8935,3731,5204,37721,503
29063,"DeKalb County, Missouri",12706,8016,4690,18994,9477,967,276,25,19,9206,440,368,808,1296,557,739,4119,66
29081,"Harrison County, Missouri",8649,4305,4344,20947,5929,602,174,40,9,8439,682,569,1251,1564,720,844,3731,83
29107,"Lafayette County, Missouri",32789,16121,16668,27260,22568,2861,969,103,202,32286,1817,1379,3196,3912,1486,2426,14926,245
29001,"Adair County, Missouri",25547,12038,13509,21778,13621,2114,1263,228,548,25242,1091,1118,2209,5929,2759,3170,10849,25
29199,"Scotland County, Missouri",4893,2388,2505,23785,3121,294,117,4,22,4796,803,599,1402,781,292,489,2169,40
29211,"Sullivan County, Missouri",6416,3255,3161,21168,4444,321,165,16,13,6325,432,420,852,1037,411,626,2724,22
29045,"Clark County, Missouri",6860,3468,3392,26253,4784,416,151,22,0,6768,457,487,944,928,461,467,3149,59
29097,"Jasper County, Missouri",117376,57174,60202,23390,76064,11382,4188,597,610,116332,8440,8043,16483,20393,9190,11203,55280,342
29111,"Lewis County, Missouri",10146,5094,5052,22083,6608,542,241,53,85,9950,517,534,1051,1299,578,721,4745,53
29119,"McDonald County, Missouri",22720,11570,11150,19577,14827,1241,438,166,127,22563,2471,2447,4918,4636,2142,2494,9082,85
29157,"Perry County, Missouri",19152,9481,9671,24846,12956,1383,508,169,27,18837,746,651,1397,1487,642,845,9205,23
29167,"Polk County, Missouri",31113,15225,15888,21357,19738,2317,1233,165,156,30708,1881,1995,3876,5228,2353,2875,13151,37
29177,"Ray County, Missouri",22921,11340,11581,26781,15717,1511,572,76,21,22654,1109,942,2051,3619,1760,1859,9856,28
30041,"Hill County, Montana",16529,8355,8174,21780,10303,1773,476,66,105,16397,1108,1312,2420,3532,1501,2031,6993,60
30015,"Chouteau County, Montana",5837,2898,2939,22014,3891,733,201,16,13,5793,545,561,1106,1257,563,694,2468,15
30053,"Lincoln County, Montana",19268,9639,9629,22483,14616,1998,607,139,27,19098,1665,1439,3104,3410,1510,1900,6626,142
30067,"Park County, Montana",15843,7917,7926,29181,11836,2773,1013,260,121,15757,1281,862,2143,1905,856,1049,7758,70
30103,"Treasure County, Montana",846,433,413,22880,600,94,18,2,5,846,29,31,60,162,91,71,392,6
30005,"Blaine County, Montana",6609,3283,3326,17059,4019,598,154,12,23,6513,958,917,1875,1856,840,1016,2508,33
30097,"Sweet Grass County, Montana",3634,1770,1864,28065,2607,502,108,23,11,3607,217,166,383,427,200,227,1536,29
30099,"Teton County, Montana",6067,2979,3088,26884,4190,660,197,56,20,6002,409,474,883,631,275,356,2744,64
30079,"Prairie County, Montana",1414,747,667,28366,1012,138,32,19,5,1395,101,43,144,255,130,125,568,7
30035,"Glacier County, Montana",13695,6722,6973,16737,7991,1056,249,127,27,13564,2899,2733,5632,4502,2102,2400,4485,11
30025,"Fallon County, Montana",2913,1525,1388,32371,1978,203,36,3,50,2861,180,149,329,197,62,135,1509,8
30037,"Golden Valley County, Montana",730,344,386,25110,573,105,30,0,0,730,33,78,111,119,43,76,334,1
30093,"Silver Bow County, Montana",34560,17188,17372,26248,23436,4188,1286,436,168,33985,2291,2144,4435,6555,3066,3489,15917,308
30095,"Stillwater County, Montana",9342,4748,4594,31583,6744,1133,389,121,73,9290,481,502,983,675,282,393,4373,97
30043,"Jefferson County, Montana",11601,5958,5643,32387,8437,1944,605,126,115,11425,548,540,1088,973,505,468,5260,70
30039,"Granite County, Montana",3212,1648,1564,29144,2443,369,198,24,20,3185,211,184,395,456,230,226,1142,11
30107,"Wheatland County, Montana",2109,1094,1015,20165,1426,215,43,2,12,2075,148,97,245,365,176,189,948,0
30057,"Madison County, Montana",7810,4046,3764,31620,6176,1147,333,72,88,7750,623,529,1152,874,426,448,3765,64
30091,"Sheridan County, Montana",3645,1866,1779,32833,2642,416,85,17,12,3594,161,115,276,395,204,191,1830,15
