GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
48193,"Hamilton County, Texas",8232,4015,4217,26522,5912,918,305,21,26,7986,882,507,1389,1174,572,602,3425,2
48335,"Mitchell County, Texas",8995,5553,3442,19741,6156,542,104,1,36,6521,705,487,1192,654,270,384,2976,3
48449,"Titus County, Texas",32592,16017,16575,21090,19669,1878,735,230,137,32319,3450,3465,6915,6654,2944,3710,13749,291
48285,"Lavaca County, Texas",19654,9520,10134,29946,13622,1599,494,48,64,19201,1415,1291,2706,1995,777,1218,8752,55
48445,"Terry County, Texas",12724,6764,5960,21938,8062,652,258,68,0,11611,1744,1548,3292,1581,668,913,4567,103
48497,"Wise County, Texas",62089,31097,30992,27447,41319,5374,1308,157,147,61057,5295,5698,10993,7599,2991,4608,26602,94
48321,"Matagorda County, Texas",36719,18133,18586,23294,23821,2640,703,158,131,36310,3813,3997,7810,7877,3400,4477,15646,69
13269,"Taylor County, Georgia",8354,4028,4326,18482,5724,473,147,17,11,8137,898,726,1624,2310,1019,1291,2809,58
13275,"Thomas County, Georgia",44977,21310,23667,24047,30456,3305,1638,499,506,44305,3802,3706,7508,9377,4323,5054,16945,201
13279,"Toombs County, Georgia",27160,12685,14475,21309,17410,1877,790,204,92,26893,3123,2905,6028,7117,3152,3965,10196,258
13209,"Montgomery County, Georgia",9005,4610,4395,20114,5999,557,277,51,48,8603,666,711,1377,1879,856,1023,3469,90
13221,"Oglethorpe County, Georgia",14743,7397,7346,21858,10448,1011,566,83,76,14602,1095,973,2068,2612,1073,1539,6245,97
13247,"Rockdale County, Georgia",87569,41424,46145,24254,56812,10093,3420,662,574,86809,7140,7978,15118,14863,6665,8198,37121,151
13305,"Wayne County, Georgia",30006,15334,14672,19188,20107,1560,776,226,117,27799,2639,2936,5575,5684,2308,3376,9882,235
13309,"Wheeler County, Georgia",7932,5145,2787,11192,5691,213,59,9,0,5092,397,647,1044,1383,493,890,1541,21
13009,"Baldwin County, Georgia",45808,22995,22813,20114,27875,2715,1674,370,376,43707,3083,2618,5701,12503,5566,6937,16485,225
31067,"Gage County, Nebraska",21778,10807,10971,27424,15422,2320,541,131,111,21485,698,599,1297,2235,987,1248,10876,70
31099,"Kearney County, Nebraska",6548,3228,3320,31234,4513,754,262,49,12,6469,267,255,522,443,182,261,3397,0
31119,"Madison County, Nebraska",35125,17405,17720,26093,22768,3167,938,279,91,34492,1879,1695,3574,5071,2153,2918,18049,299
31137,"Phelps County, Nebraska",9236,4632,4604,30166,6301,1125,222,66,54,9013,284,274,558,740,240,500,4616,13
31179,"Wayne County, Nebraska",9414,4813,4601,27292,5254,1415,321,91,82,9375,262,313,575,990,642,348,4913,18
31107,"Knox County, Nebraska",8551,4175,4376,27283,5922,873,247,50,25,8321,439,479,918,1036,395,641,4180,19
31121,"Merrick County, Nebraska",7793,3854,3939,27223,5439,676,145,33,14,7678,345,341,686,753,352,401,3911,3
31133,"Pawnee County, Nebraska",2695,1339,1356,27196,1948,219,67,21,8,2654,261,170,431,538,247,291,1206,4
31183,"Wheeler County, Nebraska",805,411,394,28257,616,74,25,3,0,805,20,20,40,41,18,23,464,7
