,GEOID,PredictedImports2017,ActualImports2017
0,1001,0.0010030899314820993,0.0
1,1003,0.013129414401378643,0.0
2,1005,0.0010030899314820993,0.0
3,1007,0.0010030899314820993,0.0
4,1009,0.0010030899314820993,0.0
5,1011,0.0010030899314820993,0.0
6,1013,0.0010030899314820993,0.0
7,1015,0.0010030899314820993,0.0
8,1017,0.0010030899314820993,0.0
9,1019,0.0010030899314820993,0.0
10,1021,0.0010030899314820993,0.0
11,1023,0.0010030899314820993,0.0
12,1025,0.0010030899314820993,0.0
13,1027,0.0010030899314820993,0.0
14,1029,0.0010030899314820993,0.0
15,1031,0.0010030899314820993,0.0
16,1033,0.0010030899314820993,0.0
17,1035,0.0010030899314820993,0.0
18,1037,0.0010030899314820993,0.0
19,1039,0.0010030899314820993,0.0
20,1041,0.0010030899314820993,0.0
21,1043,0.0010030899314820993,0.0
22,1045,0.0010030899314820993,0.0
23,1047,0.0010030899314820993,0.0
24,1049,0.0010030899314820993,0.0
25,1051,0.0010030899314820993,0.0
26,1053,0.0010030899314820993,0.0
27,1055,0.0010030899314820993,0.0
28,1057,0.0010030899314820993,0.0
29,1059,0.0010030899314820993,0.0
30,1061,0.0010030899314820993,0.0
31,1063,0.0010030899314820993,0.0
32,1065,0.0010030899314820993,0.0
33,1067,0.0010030899314820993,0.0
34,1069,0.0010030899314820993,0.0
35,1071,0.0010030899314820993,0.0
36,1073,2.913587161647191,0.0
37,1075,0.0010030899314820993,0.0
38,1077,0.0010030899314820993,0.0
39,1079,0.0010030899314820993,0.0
40,1081,0.013129414401378643,0.0
41,1083,0.0010030899314820993,0.0
42,1085,0.0010030899314820993,0.0
43,1087,0.0010030899314820993,0.0
44,1089,0.29366565035950315,0.0
45,1091,0.0010030899314820993,0.0
46,1093,0.0010030899314820993,0.0
47,1095,0.0010030899314820993,0.0
48,1097,0.14226421389956873,0.0
49,1099,0.0010030899314820993,0.0
50,1101,0.1779815375616836,0.0
51,1103,0.0010030899314820993,0.0
52,1105,0.0010030899314820993,0.0
53,1107,0.0010030899314820993,0.0
54,1109,0.0010030899314820993,0.0
55,1111,0.0010030899314820993,0.0
56,1113,0.0010030899314820993,0.0
57,1115,0.0010030899314820993,0.0
58,1117,0.1122815507284883,0.0
59,1119,0.0010030899314820993,0.0
60,1121,0.0010030899314820993,0.0
61,1123,0.0010030899314820993,0.0
62,1125,0.013129414401378643,0.0
63,1127,0.0010030899314820993,0.0
64,1129,0.0010030899314820993,0.0
65,1131,0.0010030899314820993,0.0
66,1133,0.0010030899314820993,0.0
67,4001,0.0010030899314820993,0.0
68,4003,0.02420821659045519,0.0
69,4005,0.013129414401378643,0.0
70,4007,0.0010030899314820993,0.0
71,4009,0.0010030899314820993,0.0
72,4011,0.0010030899314820993,0.0
73,4012,0.12016483686364127,0.0
74,4013,25.523473989665302,20.0
75,4015,0.008071880612212463,0.0
76,4017,0.0010030899314820993,0.0
77,4019,5.148254742866419,0.0
78,4021,0.2848773654828388,0.0
79,4023,0.0010030899314820993,0.0
80,4025,0.07462884913990905,0.0
81,4027,0.16977197972078414,0.0
82,5001,0.0010030899314820993,0.0
83,5003,0.0010030899314820993,0.0
84,5005,0.0010030899314820993,0.0
85,5007,0.06889637487700552,0.0
86,5009,0.0010030899314820993,0.0
87,5011,0.0010030899314820993,0.0
88,5013,0.0010030899314820993,0.0
89,5015,0.0010030899314820993,0.0
90,5017,0.0010030899314820993,0.0
91,5019,0.0010030899314820993,0.0
92,5021,0.0010030899314820993,0.0
93,5023,0.0010030899314820993,0.0
94,5025,0.0010030899314820993,0.0
